geneNames	transcriptNames	id	fc	pval	qval
lpdV	gene-PA2250	2297	2.04460103549395e-12	0.000205945105897443	0.936952596090434
.	MSTRG.1712.1	2044	1.3362837838019e-06	0.000775369623802868	0.936952596090434
.	gene-PA5079	5242	26.3490911832775	0.000832942542458692	0.936952596090434
.	gene-PA1764	1801	0.0162225162285946	0.00105000211701678	0.936952596090434
ubiG	gene-PA3171	3254	505.375267332357	0.00146284778923511	0.936952596090434
.	gene-PA4434	4560	3374.00492038785	0.00147069493185947	0.936952596090434
estA	gene-PA5112	5274	4.32618874245218e-06	0.00190128272234213	0.936952596090434
acpP	gene-PA2966	3038	13.946212948948	0.00221558369269714	0.936952596090434
.	rna-PA4280.5	4397	0.00155938118571301	0.00225694245645491	0.936952596090434
.	gene-PA0041a	43	8.23522247304054	0.00242074713052487	0.936952596090434
nalD	gene-PA3574	3671	9.33769049437195e-06	0.00321531112584794	0.936952596090434
.	gene-PA2606	2667	4.44815378262823	0.00343829935718654	0.936952596090434
.	gene-PA1190	1218	2.29294363806145e-11	0.00350898746467476	0.936952596090434
.	gene-PA1024	1049	0.00897106159203035	0.00362707816063168	0.936952596090434
.	gene-PA0987	1011	1.92185053191298	0.00418247814355488	0.936952596090434
.	gene-PA1388	1418	0.106111958222651	0.00441912866748151	0.936952596090434
.	gene-PA2788	2855	34.2649502764704	0.0044217859250455	0.936952596090434
phnC	gene-PA3384	3473	0.0394321645836554	0.00447004678698537	0.936952596090434
.	gene-PA1647	1684	148.533503810103	0.00462851423832955	0.936952596090434
.	gene-PA0604	612	6.11147358950176e-06	0.0047295315248661	0.936952596090434
bkdB	gene-PA2249	2296	2.69423426135452e-11	0.00495275016507679	0.936952596090434
.	gene-PA3190	3273	3.48953288747806e-07	0.005065874410209	0.936952596090434
creD	gene-PA0465	471	0.00074494467045719	0.00508481384510362	0.936952596090434
pscH	gene-PA1721	1758	95947.3252958953	0.00522375739230396	0.936952596090434
.	gene-PA4440	4566	1489.99571420989	0.00568652909554812	0.936952596090434
.	gene-PA4391	4515	24.9687779829244	0.00608245413594244	0.936952596090434
pbpC	gene-PA2272	2319	328.434825403913	0.00616521016897309	0.936952596090434
sucA	gene-PA1585	1621	42.6454582489572	0.00632307171537527	0.936952596090434
.	gene-PA0545	552	1359019133.18792	0.00685111305869157	0.936952596090434
.	gene-PA1459	1490	60.3021692226486	0.00686404918387906	0.936952596090434
fha1	gene-PA0081	84	2557.98037725326	0.00702259192975419	0.936952596090434
.	gene-PA4019	4123	2.8909611485425	0.00702793424945747	0.936952596090434
pykF	gene-PA1498	1530	0.000147046862202727	0.00708156728061216	0.936952596090434
phzM	gene-PA4209	4314	3.93127085788849e-05	0.00714058054100541	0.936952596090434
.	gene-PA3188	3271	8.5631118728346e-11	0.007230018957053	0.936952596090434
.	gene-PA2036	2082	9.63955073472906e-06	0.00741735066034233	0.936952596090434
panE	gene-PA4397	4521	0.00328798152792186	0.00777274719905785	0.936952596090434
.	gene-PA5492	5666	0.0318673327981662	0.00781981095521345	0.936952596090434
.	gene-PA3256	3338	417.705930363768	0.00787362539136671	0.936952596090434
.	gene-PA4349	4472	8408.00124981875	0.00947390120552383	0.936952596090434
.	gene-PA0368	374	0.00272912783808641	0.00985017280340905	0.936952596090434
.	gene-PA0776	790	0.000175666493021988	0.00986409961436996	0.936952596090434
fabB	gene-PA1609	1645	1330.47092583646	0.0101827180883014	0.936952596090434
soj	gene-PA5563	5737	52.0789444893078	0.0103502695463202	0.936952596090434
.	rna-PA1112.1	1140	17.4301649177345	0.0107808774967846	0.936952596090434
.	rna-PA4690.2	4837	5.43073285925735e-05	0.0108493180845045	0.936952596090434
.	gene-PA5507	5681	1747792.1053759	0.0108577066723957	0.936952596090434
.	MSTRG.3427.1	4138	0.00331106323920243	0.0112704211024778	0.936952596090434
.	gene-PA2596	2656	4.02033202276428e-07	0.0112921767701795	0.936952596090434
opdP	gene-PA4501	4628	2.30239618141724e-13	0.0118118199613584	0.936952596090434
pslA	gene-PA2231	2279	0.00847067560805144	0.0125942099577383	0.936952596090434
.	gene-PA2321	2371	0.000188106996488826	0.0125998815109152	0.936952596090434
pvcA	gene-PA2254	2301	465.998851224351	0.0131349079892993	0.936952596090434
.	gene-PA5122	5284	201.717930715271	0.0133345706149626	0.936952596090434
.	gene-PA0557	564	0.000128300967663291	0.0137818063345663	0.936952596090434
.	gene-PA4374	4498	558.590052304152	0.0142964397547337	0.936952596090434
.	gene-PA4381	4505	8120501163.61136	0.0144163362099609	0.936952596090434
aphA	gene-PA1409	1439	0.000189612449260146	0.0150043749825476	0.936952596090434
pcaB	gene-PA0230	234	18.664107470468	0.0158762959914289	0.936952596090434
creB	gene-PA0463	469	2999.87041109283	0.0159372695473823	0.936952596090434
arsB	gene-PA2278	2325	0.0002502151376914	0.0159538180596968	0.936952596090434
cysT	gene-PA0282	286	0.00217895975216621	0.0160119971490935	0.936952596090434
.	gene-PA1741	1778	47372.0363232348	0.0161823618626967	0.936952596090434
.	gene-PA0542	549	493704.797546384	0.0162239012645129	0.936952596090434
.	gene-PA5460	5635	1917.77638993603	0.0167797267670093	0.936952596090434
ccoP2	gene-PA1555	1591	18484441527.5734	0.0169153699287728	0.936952596090434
pilD	gene-PA4528	4656	2920.56243615153	0.0169569112641577	0.936952596090434
hitA	gene-PA4687	4831	2.34782864434161e-06	0.017142238917176	0.936952596090434
pilO	gene-PA5042	5205	115402.740183668	0.017362169132087	0.936952596090434
prpD	gene-PA0792	807	2.08174468073986e-18	0.0179077644872701	0.936952596090434
braC	gene-PA1074	1100	1.13260262648045e-05	0.0179331768080608	0.936952596090434
.	gene-PA3748	3849	110.337203803772	0.0182471559841678	0.936952596090434
.	gene-PA4341	4464	1.82141086065254e-09	0.0183635172103478	0.936952596090434
pilN	gene-PA5043	5206	252506.343982155	0.0185570420173247	0.936952596090434
.	gene-PA1108	1134	48.3012530290787	0.0188086888101466	0.936952596090434
.	gene-PA0364	369	6.34196274689674e-06	0.018836391852162	0.936952596090434
.	gene-PA0268	272	23.8148530546358	0.0189680518424302	0.936952596090434
.	gene-PA1813	1858	1.78974090321206	0.0196405542836595	0.936952596090434
dctA	gene-PA1183	1211	119601008426614	0.0196720457381655	0.936952596090434
clpP	gene-PA1801	1845	18.493893500338	0.020286595972061	0.936952596090434
pelF	gene-PA3059	3134	0.00148401193118455	0.0204113342426928	0.936952596090434
.	gene-PA2333	2383	54.741204929907	0.0207971776899728	0.936952596090434
.	gene-PA2683	2743	0.00111943445173703	0.0208550017583055	0.936952596090434
.	rna-PA5369.2	5540	3.95966333808658e-05	0.0209126279835217	0.936952596090434
.	gene-PA3311	3398	0.000233916233674925	0.0209551874440054	0.936952596090434
.	gene-PA1570	1605	47.8341699919202	0.0211993136587991	0.936952596090434
.	gene-PA0553	560	0.0113111774161983	0.0217125181815105	0.936952596090434
.	gene-PA2690	2750	0.0549673677066228	0.0221065273793029	0.936952596090434
.	gene-PA3992	4096	107.954369809214	0.0224342406634861	0.936952596090434
pilR	gene-PA4547	4678	415.470375013664	0.0227435955124489	0.936952596090434
.	gene-PA3886	3988	6.69072713320317	0.0228469303202233	0.936952596090434
.	gene-PA3847	3948	12.4020683646876	0.0229212430092581	0.936952596090434
tpm	gene-PA2832	2901	2113.45071140244	0.0233006747422562	0.936952596090434
.	gene-PA4278	4390	0.132702665524463	0.023569648570774	0.936952596090434
aspA	gene-PA5429	5603	1750465.11470556	0.023663660139273	0.936952596090434
.	gene-PA4804	4964	0.000303292894280396	0.0241104369974952	0.936952596090434
.	gene-PA5195	5361	12146.2924920625	0.0243918481456551	0.936952596090434
.	gene-PA1814	1859	52.777802263132	0.0243926224922728	0.936952596090434
tpbA	gene-PA3885	3987	0.000128738508331201	0.0249515339228527	0.936952596090434
.	gene-PA5534	5708	50.3923294687658	0.0251139861111216	0.936952596090434
.	gene-PA2715	2775	9.94883774105676e-05	0.0252789752926177	0.936952596090434
.	gene-PA0365	370	2.95832656983157e-07	0.025454825588918	0.936952596090434
nrdR	gene-PA4057	4162	6.79340172074757	0.0264615553988038	0.936952596090434
braG	gene-PA1070	1096	6.28696790584001e-08	0.0265565982342304	0.936952596090434
.	gene-PA4677	4819	0.0263136741541436	0.0267664964370367	0.936952596090434
pqqH	gene-PA1990	2035	1.20955612455358e-11	0.0267959905994646	0.936952596090434
.	gene-PA1188	1216	26.3412619503386	0.0271262373651073	0.936952596090434
.	gene-PA5428	5602	90700.3912519121	0.0271775189090315	0.936952596090434
.	gene-PA2752	2814	1.38616414276609e-08	0.0272107012313785	0.936952596090434
.	gene-PA0696	708	3.39002188275683	0.0274476798882286	0.936952596090434
.	gene-PA0698	710	91041318086.9057	0.0276583115680549	0.936952596090434
.	gene-PA3122	3202	0.0131853119688822	0.0277477784997117	0.936952596090434
.	gene-PA1991	2036	6.71598311252894e-05	0.0281248187467695	0.936952596090434
.	gene-PA1380	1410	23.0746991271369	0.0281779711694897	0.936952596090434
.	gene-PA1128	1156	447.588858593232	0.0281893166164354	0.936952596090434
.	gene-PA2141	2186	1.81871276638238e-10	0.0290016702887934	0.936952596090434
oxyR	gene-PA5344	5513	11.8261013316104	0.0293931301673767	0.936952596090434
.	gene-PA5083	5246	0.00116942658779637	0.0295105321807341	0.936952596090434
glgP	gene-PA2144	2190	0.00644390720643011	0.0300128522053327	0.936952596090434
.	gene-PA3762	3863	3132.98284794405	0.030214673554582	0.936952596090434
.	gene-PA2721	2781	0.00215681230019061	0.0302492315374344	0.936952596090434
.	gene-PA5506	5680	11307739.5902082	0.0304666323607972	0.936952596090434
.	gene-PA1342	1372	5.3867284582495e-07	0.0305071813479449	0.936952596090434
.	gene-PA2566	2622	962.370882952483	0.0306275430502322	0.936952596090434
.	gene-PA3411	3501	2.10066045114524e-09	0.0310352593423058	0.936952596090434
serA	gene-PA0316	321	8.02966020839141	0.0312198871303029	0.936952596090434
.	gene-PA3237	3319	0.106721221501747	0.0316295988622262	0.936952596090434
.	gene-PA1110	1136	156.7104516939	0.0316829186763575	0.936952596090434
.	gene-PA0758	772	0.14414782919913	0.0321470260418565	0.936952596090434
cupB4	gene-PA4083	4186	0.00635071910498672	0.0321520898761374	0.936952596090434
.	gene-PA5362	5531	233.013889375059	0.032159458580312	0.936952596090434
aruF	gene-PA0896	914	0.000668642265086105	0.0323444737853003	0.936952596090434
.	gene-PA0743	758	2.77192617085316e-07	0.0325366448260475	0.936952596090434
pelE	gene-PA3060	3135	7.8042880856328e-08	0.0328367198229369	0.936952596090434
pscG	gene-PA1720	1757	748073.824679105	0.0328965749380505	0.936952596090434
.	gene-PA4095	4198	0.000121147318418408	0.033176293983282	0.936952596090434
.	gene-PA2779	2846	2.310777095626e-07	0.0333223333826929	0.936952596090434
nirB	gene-PA1781	1818	0.0978666074096569	0.0334565741802979	0.936952596090434
cobU	gene-PA1279	1308	344.188556398153	0.0337821955455299	0.936952596090434
rpoA	gene-PA4238	4344	1008.42641968769	0.034134603844326	0.936952596090434
.	gene-PA4187	4292	3.79104280513867e-05	0.0345675627961202	0.936952596090434
fleN	gene-PA1454	1485	4.19966707225974	0.0348656365228732	0.936952596090434
.	gene-PA0906	928	50.7737598859235	0.03499387672341	0.936952596090434
.	gene-PA2381	2430	772921.628460397	0.0351416716540207	0.936952596090434
.	gene-PA4321	4444	0.163155058528648	0.0352700407099464	0.936952596090434
.	gene-PA3196	3279	0.00188610251263256	0.0354392918017367	0.936952596090434
.	gene-PA2841	2910	15.2171863967254	0.0354426742148929	0.936952596090434
.	gene-PA1934	1981	70.5354556141512	0.0355372611931217	0.936952596090434
pgl	gene-PA3182	3265	3.16977601975688e-05	0.035750656341291	0.936952596090434
.	gene-PA3252	3334	1.10750805130142e-08	0.0358244453478521	0.936952596090434
.	gene-PA4980	5143	4.51478369643542e-09	0.0359819864385513	0.936952596090434
.	gene-PA3884	3986	5.17618854256887e-05	0.0360987990010753	0.936952596090434
.	gene-PA3089a	3166	412065.785223028	0.0363107725197854	0.936952596090434
.	gene-PA1297	1326	435.449492513782	0.0367088380710381	0.936952596090434
.	gene-PA4709	4861	3.67485376188745	0.036851249377842	0.936952596090434
.	gene-PA4659	4799	0.00243091966751882	0.0369537817053457	0.936952596090434
.	gene-PA1497	1529	4128.68599695377	0.0372695904257634	0.936952596090434
rsmY	rna-PA0527.1	534	0.00649600035114496	0.037420561641101	0.936952596090434
.	gene-PA3038	3112	4.05976054997429e-12	0.0377300730583833	0.936952596090434
.	gene-PA4734	4890	7.09932006381515	0.037772146568365	0.936952596090434
aruG	gene-PA0897	915	0.00138595095476613	0.0378383919811514	0.936952596090434
